date,open,high,low,close,adj_close,volume,ets,number_date,symb,secteur
2020-03-10,53800,54900,53700,54600,54600,32106554,Samsung,22,005930.KS,technologie
2020-03-09,56500,56500,56500,56500,56500,,Samsung,22,005930.KS,technologie
2020-03-06,56500,57200,56200,56500,56500,18716656,Samsung,22,005930.KS,technologie
2020-03-05,57600,58000,56700,57800,57800,21698990,Samsung,22,005930.KS,technologie
2020-03-04,54800,57600,54600,57400,57400,24765728,Samsung,22,005930.KS,technologie
2020-03-03,56700,56900,55100,55400,55400,30330295,Samsung,22,005930.KS,technologie
2020-03-02,54300,55500,53600,55000,55000,30403412,Samsung,22,005930.KS,technologie
2020-02-28,55000,55500,54200,54200,54200,30054227,Samsung,22,005930.KS,technologie
2020-02-27,56300,56900,55500,55900,55900,23209541,Samsung,22,005930.KS,technologie
2020-02-26,56000,57000,56000,56500,56500,25483102,Samsung,22,005930.KS,technologie
2020-02-25,56200,58000,56200,57900,57900,23885408,Samsung,22,005930.KS,technologie
2020-02-24,57400,58100,56800,56800,56800,25627537,Samsung,22,005930.KS,technologie
2020-02-21,58800,59800,58500,59200,59200,13777393,Samsung,22,005930.KS,technologie
2020-02-20,60700,61300,59600,60000,60000,14591924,Samsung,22,005930.KS,technologie
2020-02-19,59800,60400,59400,60200,60200,12951496,Samsung,22,005930.KS,technologie
2020-02-18,60800,60900,59700,59800,59800,16674266,Samsung,22,005930.KS,technologie
2020-03-17,35.71,37.74,35.12,36.93,32.02,448400,Siemens,21,SIEGY,technologie
2020-03-16,35.96,38.03,35.31,35.36,30.66,676300,Siemens,21,SIEGY,technologie
2020-03-13,40.94,40.95,37.74,40.4,35.02,641400,Siemens,21,SIEGY,technologie
2020-03-12,41.62,41.62,38.42,39,33.81,768200,Siemens,21,SIEGY,technologie
2020-03-11,45.7,45.89,44.09,44.39,38.48,428600,Siemens,21,SIEGY,technologie
2020-03-10,46.49,46.69,45.14,46.66,40.45,485600,Siemens,21,SIEGY,technologie
2020-03-09,45.68,46.84,45.05,45.21,39.19,373700,Siemens,21,SIEGY,technologie
2020-03-06,49.23,50.02,48.84,49.29,42.73,420100,Siemens,21,SIEGY,technologie
2020-03-05,50.12,50.59,49.72,49.94,43.3,219100,Siemens,21,SIEGY,technologie
2020-03-04,50.97,51.79,50.56,51.66,44.79,300600,Siemens,21,SIEGY,technologie
2020-03-03,51.87,52.53,50.51,50.8,44.04,354100,Siemens,21,SIEGY,technologie
2020-03-02,51.57,51.71,50.51,51.69,44.81,249700,Siemens,21,SIEGY,technologie
2020-02-28,50.51,51.7,50.21,51.39,44.55,414700,Siemens,21,SIEGY,technologie
